1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.2175,1.2196,1.2215,1.2233,1.225,1.2265,1.2279,1.2293,1.2305,1.2316,1.2326,1.2335,1.2343,1.2351,1.2358,1.2364,1.237,1.2375,1.238,1.2384,1.2388,1.2392,1.2395,1.2398,1.24,1.2402,1.2404,1.2406,1.2408,1.2409,1.241,1.2411,1.2412,1.2413,1.2414,1.2415,1.2415,1.2416,1.2416,1.2417,1.2417,1.2417,1.2418,1.2418,1.2418,1.2418,1.2418,1.2418,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419,1.2419
1.409,1.413,1.4168,1.4204,1.4238,1.4271,1.4302,1.4331,1.4358,1.4384,1.4409,1.4432,1.4453,1.4474,1.4493,1.4511,1.4529,1.4545,1.456,1.4574,1.4587,1.4599,1.4611,1.4622,1.4632,1.4641,1.465,1.4658,1.4666,1.4673,1.4679,1.4685,1.4691,1.4696,1.4701,1.4705,1.471,1.4713,1.4717,1.472,1.4723,1.4726,1.4728,1.4731,1.4733,1.4735,1.4737,1.4738,1.474,1.4741,1.4742,1.4744,1.4745,1.4746,1.4746,1.4747,1.4748,1.4749,1.4749,1.475,1.475,1.4751,1.4751,1.4751,1.4752,1.4752,1.4752,1.4753,1.4753,1.4753,1.4753,1.4753,1.4754,1.4754,1.4754,1.4754,1.4754,1.4754,1.4754,1.4754,1.4754,1.4754,1.4754,1.4754,1.4754,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755,1.4755
1.5829,1.5887,1.5942,1.5995,1.6045,1.6094,1.614,1.6185,1.6228,1.6268,1.6307,1.6344,1.638,1.6414,1.6446,1.6477,1.6507,1.6535,1.6561,1.6587,1.6611,1.6634,1.6656,1.6676,1.6696,1.6715,1.6732,1.6749,1.6765,1.678,1.6794,1.6808,1.682,1.6832,1.6844,1.6854,1.6864,1.6874,1.6883,1.6891,1.6899,1.6906,1.6913,1.692,1.6926,1.6932,1.6937,1.6942,1.6947,1.6951,1.6956,1.6959,1.6963,1.6966,1.697,1.6973,1.6975,1.6978,1.698,1.6982,1.6984,1.6986,1.6988,1.699,1.6991,1.6993,1.6994,1.6995,1.6996,1.6997,1.6998,1.6999,1.7,1.7001,1.7001,1.7002,1.7003,1.7003,1.7004,1.7004,1.7005,1.7005,1.7005,1.7006,1.7006,1.7006,1.7007,1.7007,1.7007,1.7007,1.7007,1.7008,1.7008,1.7008,1.7008,1.7008,1.7008,1.7008,1.7008,1.7008,1.7008,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009,1.7009
1.7427,1.75,1.7571,1.7639,1.7705,1.7769,1.783,1.7889,1.7946,1.8001,1.8054,1.8105,1.8154,1.8201,1.8246,1.829,1.8332,1.8372,1.841,1.8447,1.8483,1.8517,1.855,1.8581,1.8611,1.8639,1.8667,1.8693,1.8718,1.8742,1.8765,1.8787,1.8808,1.8828,1.8847,1.8865,1.8882,1.8899,1.8914,1.8929,1.8944,1.8957,1.897,1.8982,1.8994,1.9005,1.9015,1.9025,1.9034,1.9043,1.9052,1.906,1.9067,1.9074,1.9081,1.9088,1.9094,1.9099,1.9105,1.911,1.9114,1.9119,1.9123,1.9127,1.9131,1.9134,1.9138,1.9141,1.9144,1.9147,1.9149,1.9152,1.9154,1.9156,1.9158,1.916,1.9162,1.9163,1.9165,1.9166,1.9168,1.9169,1.917,1.9171,1.9172,1.9173,1.9174,1.9175,1.9175,1.9176,1.9177,1.9177,1.9178,1.9179,1.9179,1.918,1.918,1.918,1.9181,1.9181,1.9181,1.9182,1.9182,1.9182,1.9182,1.9183,1.9183,1.9183,1.9183,1.9183,1.9184,1.9184,1.9184,1.9184,1.9184,1.9184,1.9184,1.9184,1.9184,1.9184,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185,1.9185
1.8904,1.8992,1.9078,1.9161,1.9241,1.9319,1.9394,1.9467,1.9537,1.9606,1.9672,1.9736,1.9797,1.9857,1.9915,1.9971,2.0025,2.0076,2.0127,2.0175,2.0222,2.0267,2.031,2.0352,2.0392,2.0431,2.0469,2.0505,2.0539,2.0573,2.0605,2.0635,2.0665,2.0693,2.0721,2.0747,2.0772,2.0796,2.0819,2.0842,2.0863,2.0883,2.0903,2.0921,2.0939,2.0957,2.0973,2.0989,2.1004,2.1018,2.1032,2.1045,2.1057,2.1069,2.108,2.1091,2.1101,2.1111,2.112,2.1129,2.1138,2.1146,2.1154,2.1161,2.1168,2.1174,2.1181,2.1187,2.1192,2.1197,2.1203,2.1207,2.1212,2.1216,2.122,2.1224,2.1228,2.1231,2.1234,2.1238,2.124,2.1243,2.1246,2.1248,2.1251,2.1253,2.1255,2.1257,2.1258,2.126,2.1262,2.1263,2.1265,2.1266,2.1267,2.1269,2.127,2.1271,2.1272,2.1273,2.1273,2.1274,2.1275,2.1276,2.1276,2.1277,2.1278,2.1278,2.1279,2.1279,2.128,2.128,2.128,2.1281,2.1281,2.1281,2.1282,2.1282,2.1282,2.1282,2.1283,2.1283,2.1283,2.1283,2.1283,2.1284,2.1284,2.1284,2.1284,2.1284,2.1284,2.1284,2.1284,2.1284,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1285,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286,2.1286
2.0277,2.0378,2.0477,2.0574,2.0667,2.0758,2.0847,2.0933,2.1016,2.1097,2.1175,2.1252,2.1326,2.1398,2.1467,2.1535,2.16,2.1663,2.1725,2.1784,2.1842,2.1898,2.1952,2.2004,2.2055,2.2104,2.2151,2.2197,2.2241,2.2283,2.2325,2.2364,2.2403,2.244,2.2476,2.251,2.2544,2.2576,2.2607,2.2637,2.2665,2.2693,2.272,2.2745,2.277,2.2794,2.2817,2.2839,2.286,2.288,2.29,2.2918,2.2936,2.2954,2.297,2.2986,2.3001,2.3016,2.303,2.3043,2.3056,2.3068,2.308,2.3092,2.3102,2.3113,2.3123,2.3132,2.3141,2.315,2.3158,2.3166,2.3173,2.318,2.3187,2.3194,2.32,2.3206,2.3211,2.3217,2.3222,2.3227,2.3231,2.3236,2.324,2.3244,2.3248,2.3251,2.3255,2.3258,2.3261,2.3264,2.3267,2.3269,2.3272,2.3274,2.3276,2.3278,2.328,2.3282,2.3284,2.3286,2.3287,2.3289,2.329,2.3292,2.3293,2.3294,2.3295,2.3296,2.3297,2.3298,2.3299,2.33,2.3301,2.3301,2.3302,2.3303,2.3303,2.3304,2.3305,2.3305,2.3306,2.3306,2.3307,2.3307,2.3307,2.3308,2.3308,2.3308,2.3309,2.3309,2.3309,2.3309,2.331,2.331,2.331,2.331,2.331,2.3311,2.3311,2.3311,2.3311,2.3311,2.3311,2.3311,2.3311,2.3311,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3312,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313,2.3313
2.1555,2.1669,2.1781,2.189,2.1996,2.2099,2.22,2.2298,2.2394,2.2487,2.2577,2.2665,2.2751,2.2834,2.2915,2.2994,2.307,2.3144,2.3217,2.3287,2.3355,2.3421,2.3486,2.3548,2.3609,2.3667,2.3724,2.378,2.3833,2.3885,2.3936,2.3984,2.4032,2.4077,2.4122,2.4165,2.4206,2.4247,2.4285,2.4323,2.4359,2.4395,2.4429,2.4461,2.4493,2.4524,2.4554,2.4582,2.461,2.4636,2.4662,2.4687,2.4711,2.4734,2.4756,2.4777,2.4798,2.4818,2.4837,2.4856,2.4873,2.489,2.4907,2.4923,2.4938,2.4952,2.4966,2.498,2.4993,2.5005,2.5017,2.5028,2.5039,2.505,2.506,2.507,2.5079,2.5088,2.5097,2.5105,2.5113,2.512,2.5127,2.5134,2.5141,2.5147,2.5153,2.5159,2.5164,2.5169,2.5174,2.5179,2.5184,2.5188,2.5192,2.5196,2.52,2.5203,2.5207,2.521,2.5213,2.5216,2.5219,2.5222,2.5224,2.5227,2.5229,2.5231,2.5233,2.5235,2.5237,2.5239,2.524,2.5242,2.5243,2.5245,2.5246,2.5248,2.5249,2.525,2.5251,2.5252,2.5253,2.5254,2.5255,2.5256,2.5257,2.5257,2.5258,2.5259,2.5259,2.526,2.526,2.5261,2.5261,2.5262,2.5262,2.5263,2.5263,2.5264,2.5264,2.5264,2.5265,2.5265,2.5265,2.5265,2.5266,2.5266,2.5266,2.5266,2.5266,2.5267,2.5267,2.5267,2.5267,2.5267,2.5267,2.5268,2.5268,2.5268,2.5268,2.5268,2.5268,2.5268,2.5268,2.5268,2.5268,2.5268,2.5268,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269,2.5269
2.2746,2.2873,2.2997,2.3117,2.3235,2.335,2.3462,2.3572,2.3679,2.3783,2.3885,2.3984,2.408,2.4175,2.4266,2.4356,2.4443,2.4528,2.461,2.4691,2.4769,2.4846,2.492,2.4992,2.5062,2.5131,2.5197,2.5262,2.5325,2.5386,2.5445,2.5503,2.5559,2.5613,2.5666,2.5717,2.5767,2.5815,2.5862,2.5908,2.5952,2.5995,2.6036,2.6076,2.6115,2.6153,2.619,2.6225,2.6259,2.6293,2.6325,2.6356,2.6386,2.6415,2.6443,2.6471,2.6497,2.6522,2.6547,2.6571,2.6594,2.6616,2.6637,2.6658,2.6678,2.6697,2.6716,2.6734,2.6751,2.6768,2.6784,2.6799,2.6814,2.6829,2.6842,2.6856,2.6868,2.6881,2.6893,2.6904,2.6915,2.6926,2.6936,2.6945,2.6955,2.6964,2.6972,2.6981,2.6989,2.6996,2.7004,2.7011,2.7017,2.7024,2.703,2.7036,2.7042,2.7047,2.7052,2.7057,2.7062,2.7067,2.7071,2.7075,2.7079,2.7083,2.7086,2.709,2.7093,2.7096,2.7099,2.7102,2.7105,2.7108,2.711,2.7113,2.7115,2.7117,2.7119,2.7121,2.7123,2.7125,2.7126,2.7128,2.713,2.7131,2.7132,2.7134,2.7135,2.7136,2.7137,2.7138,2.7139,2.714,2.7141,2.7142,2.7143,2.7144,2.7145,2.7145,2.7146,2.7147,2.7147,2.7148,2.7148,2.7149,2.7149,2.715,2.715,2.7151,2.7151,2.7151,2.7152,2.7152,2.7152,2.7153,2.7153,2.7153,2.7153,2.7154,2.7154,2.7154,2.7154,2.7154,2.7155,2.7155,2.7155,2.7155,2.7155,2.7155,2.7155,2.7156,2.7156,2.7156,2.7156,2.7156,2.7156,2.7156,2.7156,2.7156,2.7156,2.7156,2.7156,2.7157,2.7157,2.7157,2.7157,2.7157,2.7157,2.7157,2.7157,2.7157,2.7157,2.7157,2.7157,2.7157,2.7157,2.7157,2.7157,2.7157
2.3862,2.3999,2.4134,2.4266,2.4395,2.4521,2.4644,2.4764,2.4882,2.4997,2.5109,2.5218,2.5325,2.543,2.5532,2.5632,2.5729,2.5824,2.5916,2.6007,2.6095,2.6181,2.6264,2.6346,2.6426,2.6503,2.6579,2.6653,2.6724,2.6794,2.6862,2.6929,2.6993,2.7056,2.7117,2.7177,2.7235,2.7291,2.7346,2.7399,2.7451,2.7501,2.755,2.7597,2.7644,2.7688,2.7732,2.7774,2.7815,2.7855,2.7894,2.7931,2.7968,2.8003,2.8038,2.8071,2.8103,2.8134,2.8164,2.8194,2.8222,2.825,2.8276,2.8302,2.8327,2.8351,2.8375,2.8397,2.8419,2.844,2.8461,2.848,2.85,2.8518,2.8536,2.8553,2.857,2.8586,2.8601,2.8616,2.8631,2.8645,2.8658,2.8671,2.8684,2.8696,2.8707,2.8719,2.8729,2.874,2.875,2.8759,2.8769,2.8777,2.8786,2.8794,2.8802,2.881,2.8817,2.8824,2.8831,2.8837,2.8844,2.885,2.8855,2.8861,2.8866,2.8871,2.8876,2.8881,2.8885,2.889,2.8894,2.8898,2.8902,2.8905,2.8909,2.8912,2.8915,2.8918,2.8921,2.8924,2.8926,2.8929,2.8931,2.8934,2.8936,2.8938,2.894,2.8942,2.8944,2.8946,2.8947,2.8949,2.895,2.8952,2.8953,2.8955,2.8956,2.8957,2.8958,2.8959,2.896,2.8961,2.8962,2.8963,2.8964,2.8965,2.8966,2.8966,2.8967,2.8968,2.8968,2.8969,2.8969,2.897,2.897,2.8971,2.8971,2.8972,2.8972,2.8973,2.8973,2.8973,2.8974,2.8974,2.8974,2.8975,2.8975,2.8975,2.8975,2.8976,2.8976,2.8976,2.8976,2.8976,2.8977,2.8977,2.8977,2.8977,2.8977,2.8977,2.8977,2.8977,2.8978,2.8978,2.8978,2.8978,2.8978,2.8978,2.8978,2.8978,2.8978,2.8978,2.8978,2.8978,2.8978,2.8978,2.8978,2.8978
